ID,vendorCode,vendorName,country,region,vendorCategory,materialCategory,contactPerson,email,phone,criticalVendor,vendorStatus,currentRiskScore,riskLevel,lastRiskCalculation
11111111-1111-1111-1111-111111111111,VND001,ABC Industrial Supplies,India,South,Raw Materials,Steel and Metals,Ravi Kumar,ravi.kumar@abcindustrial.com,+91-9876500001,true,ACTIVE,18.50,Low,2026-09-01T08:30:00Z
22222222-2222-2222-2222-222222222222,VND002,Global Auto Components,India,West,Automotive,Automotive Components,Priya Sharma,priya.sharma@globalauto.com,+91-9876500002,true,ACTIVE,32.75,Medium,2026-09-02T09:15:00Z
33333333-3333-3333-3333-333333333333,VND003,Prime Engineering Works,India,South,Engineering,Machine Parts,Arun Raj,arun.raj@primeeng.com,+91-9876500003,false,ACTIVE,12.40,Low,2026-09-03T10:00:00Z
44444444-4444-4444-4444-444444444444,VND004,Techno Electricals,India,West,Electrical,Electrical Components,Neha Patel,neha.patel@technoelectric.com,+91-9876500004,false,ACTIVE,27.60,Medium,2026-09-04T11:20:00Z
55555555-5555-5555-5555-555555555555,VND005,Metro Packaging Solutions,India,North,Packaging,Packaging Materials,Sanjay Mehta,sanjay.mehta@metropack.com,+91-9876500005,false,ACTIVE,9.25,Low,2026-09-05T07:45:00Z
66666666-6666-6666-6666-666666666666,VND006,Elite Bearings Ltd,India,South,Automotive,Bearings and Seals,Meena Krishnan,meena.krishnan@elitebearings.com,+91-9876500006,true,ACTIVE,41.80,High,2026-09-06T12:10:00Z
77777777-7777-7777-7777-777777777777,VND007,SafeChem Industries,India,West,Chemicals,Industrial Chemicals,Vikram Singh,vikram.singh@safechem.com,+91-9876500007,true,ACTIVE,36.45,Medium,2026-09-07T08:55:00Z
88888888-8888-8888-8888-888888888888,VND008,Fast Logistics Services,India,South,Logistics,Transportation Services,Karthik Rao,karthik.rao@fastlogistics.com,+91-9876500008,false,ACTIVE,22.15,Medium,2026-09-08T13:30:00Z
99999999-9999-9999-9999-999999999999,VND009,Sunrise Plastics,India,North,Manufacturing,Plastic Components,Anita Verma,anita.verma@sunriseplastics.com,+91-9876500009,false,ACTIVE,14.90,Low,2026-09-09T09:40:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,VND010,Omega Machinery,India,West,Engineering,Industrial Machinery,Rohit Shah,rohit.shah@omegamachinery.com,+91-9876500010,true,ACTIVE,48.20,High,2026-09-10T14:15:00Z
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,VND011,Delta Fasteners,India,South,Manufacturing,Fasteners,Manoj Kumar,manoj.kumar@deltafasteners.com,+91-9876500011,false,ACTIVE,17.35,Low,2026-09-11T10:25:00Z
cccccccc-cccc-cccc-cccc-cccccccccccc,VND012,United Industrial Tools,India,West,Engineering,Industrial Tools,Pooja Nair,pooja.nair@unitedtools.com,+91-9876500012,false,ACTIVE,29.70,Medium,2026-09-12T11:50:00Z
dddddddd-dddd-dddd-dddd-dddddddddddd,VND013,National Rubber Products,India,North,Manufacturing,Rubber Products,Deepak Yadav,deepak.yadav@nationalrubber.com,+91-9876500013,false,INACTIVE,34.25,Medium,2026-09-13T08:05:00Z
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,VND014,Future Auto Systems,India,South,Automotive,Vehicle Systems,Swetha Iyer,swetha.iyer@futureauto.com,+91-9876500014,true,SUSPENDED,52.60,High,2026-09-14T15:20:00Z
ffffffff-ffff-ffff-ffff-ffffffffffff,VND015,Quality Components India,India,West,Automotive,Precision Components,Ajay Menon,ajay.menon@qualitycomponents.com,+91-9876500015,true,ACTIVE,39.90,Medium,2026-09-15T10:45:00Z
